LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1707823628.734784,32348.000,2403,9,AX,1,100,-0.681
1707823628.734784,32348.000,2403,9,AX,1,100,-0.687
1707823628.734784,32348.000,2403,9,AX,1,100,-0.683
1707823628.734784,32348.000,2403,9,AX,1,100,-0.682
1707823628.734784,32348.000,2403,9,AX,1,100,-0.683
1707823628.734784,32348.000,2403,9,AX,1,100,-0.687
1707823628.734784,32348.000,2403,9,AX,1,100,-0.682
1707823628.734784,32348.000,2403,9,AX,1,100,-0.683
1707823628.734784,32348.000,2403,9,AX,1,100,-0.683
1707823628.775523,32387.500,2418,2,AX,1,100,-0.691
1707823628.816263,32427.000,2418,2,AX,1,100,-0.683
1707823628.856143,32465.667,2434,3,AX,1,100,-0.684
1707823628.896023,32504.333,2434,3,AX,1,100,-0.685
1707823628.935903,32543.000,2434,3,AX,1,100,-0.687
1707823628.975783,32581.667,2452,3,AX,1,100,-0.682
1707823629.015663,32620.333,2452,3,AX,1,100,-0.684
1707823629.055543,32659.000,2452,3,AX,1,100,-0.685
1707823629.095251,32697.500,2468,2,AX,1,100,-0.683
1707823629.134959,32736.000,2468,2,AX,1,100,-0.683
1707823629.174839,32774.667,2484,3,AX,1,100,-0.682
1707823629.214719,32813.333,2484,3,AX,1,100,-0.685
1707823629.254599,32852.000,2484,3,AX,1,100,-0.690
1707823629.295166,32891.333,2502,3,AX,1,100,-0.681
1707823629.335734,32930.667,2502,3,AX,1,100,-0.682
1707823629.376301,32970.000,2502,3,AX,1,100,-0.687
1707823629.416525,33009.000,2519,2,AX,1,100,-0.682
1707823629.456749,33048.000,2519,2,AX,1,100,-0.680
1707823629.496766,33086.800,2535,5,AX,1,100,-0.683
1707823629.536784,33125.600,2535,5,AX,1,100,-0.684
1707823629.576801,33164.400,2535,5,AX,1,100,-0.681
1707823629.616819,33203.200,2535,5,AX,1,100,-0.684
1707823629.656836,33242.000,2535,5,AX,1,100,-0.679
1707823629.695513,33279.500,2552,2,AX,1,100,-0.686
1707823629.734190,33317.000,2552,2,AX,1,100,-0.684
1707823629.769944,33351.667,2568,3,AX,1,100,-0.678
1707823629.805698,33386.333,2568,3,AX,1,100,-0.690
1707823629.841453,33421.000,2568,3,AX,1,100,-0.683
1707823629.881333,33459.667,2585,3,AX,1,100,-0.683
1707823629.921213,33498.333,2585,3,AX,1,100,-0.683
1707823629.961093,33537.000,2585,3,AX,1,100,-0.684
1707823630.000629,33575.333,2602,3,AX,1,100,-0.682
1707823630.040165,33613.667,2602,3,AX,1,100,-0.683
1707823630.079701,33652.000,2602,3,AX,1,100,-0.685
1707823630.119925,33691.000,2617,2,AX,1,100,-0.681
1707823630.160149,33730.000,2617,2,AX,1,100,-0.681
1707823630.200029,33768.667,2635,3,AX,1,100,-0.682
1707823630.239909,33807.333,2635,3,AX,1,100,-0.682
1707823630.279789,33846.000,2635,3,AX,1,100,-0.682
1707823630.319669,33884.667,2653,3,AX,1,100,-0.684
1707823630.359549,33923.333,2653,3,AX,1,100,-0.668
1707823630.399429,33962.000,2653,3,AX,1,100,-0.671
1707823630.439137,34000.500,2669,2,AX,1,100,-0.687
1707823630.478845,34039.000,2669,2,AX,1,100,-0.676
1707823630.518381,34077.333,2691,3,AX,1,100,-0.666
1707823630.557917,34115.667,2691,3,AX,1,100,-0.685
1707823630.597453,34154.000,2691,3,AX,1,100,-0.676
1707823630.637161,34192.500,2706,2,AX,1,100,-0.675
1707823630.676869,34231.000,2706,2,AX,1,100,-0.675
1707823630.716749,34269.667,2723,3,AX,1,100,-0.679
1707823630.756629,34308.333,2723,3,AX,1,100,-0.677
1707823630.796509,34347.000,2723,3,AX,1,100,-0.674
1707823630.836389,34385.667,2739,3,AX,1,100,-0.683
1707823630.876269,34424.333,2739,3,AX,1,100,-0.675
1707823630.916149,34463.000,2739,3,AX,1,100,-0.674
1707823630.956029,34501.667,2757,3,AX,1,100,-0.679
1707823630.995909,34540.333,2757,3,AX,1,100,-0.680
1707823631.035789,34579.000,2757,3,AX,1,100,-0.678
1707823631.075497,34617.500,2775,2,AX,1,100,-0.675
1707823631.115205,34656.000,2775,2,AX,1,100,-0.678
1707823631.154741,34694.333,2790,3,AX,1,100,-0.680
1707823631.194278,34732.667,2790,3,AX,1,100,-0.673
1707823631.233814,34771.000,2790,3,AX,1,100,-0.679
1707823631.273522,34809.500,2807,2,AX,1,100,-0.684
1707823631.313230,34848.000,2807,2,AX,1,100,-0.680
1707823631.353110,34886.667,2824,3,AX,1,100,-0.677
1707823631.392990,34925.333,2824,3,AX,1,100,-0.685
1707823631.432870,34964.000,2824,3,AX,1,100,-0.678
1707823631.472750,35002.667,2840,3,AX,1,100,-0.677
1707823631.512630,35041.333,2840,3,AX,1,100,-0.678
1707823631.552510,35080.000,2840,3,AX,1,100,-0.684
1707823631.592734,35119.000,2856,2,AX,1,100,-0.687
1707823631.632957,35158.000,2856,2,AX,1,100,-0.684
1707823631.672493,35196.333,2872,3,AX,1,100,-0.679
1707823631.712030,35234.667,2872,3,AX,1,100,-0.686
1707823631.751566,35273.000,2872,3,AX,1,100,-0.683
1707823631.790758,35311.000,2889,2,AX,1,100,-0.679
1707823631.829951,35349.000,2889,2,AX,1,100,-0.681
1707823631.869831,35387.667,2907,3,AX,1,100,-0.673
1707823631.909711,35426.333,2907,3,AX,1,100,-0.697
1707823631.949590,35465.000,2907,3,AX,1,100,-0.704
1707823631.989470,35503.667,2925,3,AX,1,100,-0.667
1707823632.029350,35542.333,2925,3,AX,1,100,-0.678
1707823632.069230,35581.000,2925,3,AX,1,100,-0.691
1707823632.104985,35615.667,2939,3,AX,1,100,-0.683
1707823632.140739,35650.333,2939,3,AX,1,100,-0.675
1707823632.176494,35685.000,2939,3,AX,1,100,-0.687
1707823632.216202,35723.500,2956,2,AX,1,100,-0.696
1707823632.255910,35762.000,2956,2,AX,1,100,-0.681
1707823632.295790,35800.667,2973,3,AX,1,100,-0.678
